Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0030308~negative regulation of cell growth	4	16.0	3.916127873487632E-4	56437, 18158, 230899, 12575	22	125	18082	26.30109090909091	0.1003560109779178	0.1003560109779178	0.5136752524414367
GOTERM_BP_DIRECT	GO:0009612~response to mechanical stimulus	3	12.0	0.002404042399971219	54720, 21825, 11459	22	63	18082	39.13852813852814	0.4778878786938705	0.2774267363746916	3.115124066303021
GOTERM_BP_DIRECT	GO:2000074~regulation of type B pancreatic cell development	2	8.0	0.0034802753014294553	11865, 12753	22	3	18082	547.939393939394	0.6098848386279937	0.26931373637873557	4.480424841298392
GOTERM_BP_DIRECT	GO:0007623~circadian rhythm	3	12.0	0.00689246487830466	11865, 12753, 13170	22	108	18082	22.83080808080808	0.8454764024120721	0.3730271964307229	8.69246693493897
GOTERM_BP_DIRECT	GO:2000323~negative regulation of glucocorticoid receptor signaling pathway	2	8.0	0.006949013150923145	11865, 12753	22	6	18082	273.969696969697	0.84783394619334	0.31377970909427544	8.760802065494488
GOTERM_BP_DIRECT	GO:0042634~regulation of hair cycle	2	8.0	0.006949013150923145	11865, 12753	22	6	18082	273.969696969697	0.84783394619334	0.31377970909427544	8.760802065494488
GOTERM_BP_DIRECT	GO:0051775~response to redox state	2	8.0	0.008102701507015024	11865, 12753	22	7	18082	234.8311688311688	0.8888240098603829	0.3065712651515703	10.14468942475306
GOTERM_BP_DIRECT	GO:0048511~rhythmic process	3	12.0	0.009561518412981772	11865, 12753, 13170	22	128	18082	19.263494318181817	0.9252817770545135	0.30966334560418407	11.866821922612502
GOTERM_BP_DIRECT	GO:0007168~receptor guanylyl cyclase signaling pathway	2	8.0	0.01040624989034314	18158, 230899	22	9	18082	182.64646464646464	0.9406562721338299	0.29745871125932366	12.850032632745256
GOTERM_BP_DIRECT	GO:0061049~cell growth involved in cardiac muscle cell development	2	8.0	0.012704702774281169	18158, 230899	22	11	18082	149.43801652892563	0.968325595834947	0.3185844336211321	15.474210107465414
GOTERM_BP_DIRECT	GO:0003085~negative regulation of systemic arterial blood pressure	2	8.0	0.014998070869581905	18158, 230899	22	13	18082	126.44755244755245	0.983095127957486	0.3350313226773384	18.019648399827638
GOTERM_BP_DIRECT	GO:0006182~cGMP biosynthetic process	2	8.0	0.01956959541732989	18158, 230899	22	17	18082	96.69518716577541	0.9951857555087508	0.38436863192811244	22.883654332560276
GOTERM_BP_DIRECT	GO:0014898~cardiac muscle hypertrophy in response to stress	2	8.0	0.020709315234382155	18158, 230899	22	18	18082	91.32323232323232	0.9964832756948723	0.3755300754445686	24.054037934935625
GOTERM_BP_DIRECT	GO:0050880~regulation of blood vessel size	2	8.0	0.021847773182207462	18158, 230899	22	19	18082	86.51674641148325	0.9974311369668794	0.36795310262855196	25.206722152237838
GOTERM_BP_DIRECT	GO:0030511~positive regulation of transforming growth factor beta receptor signaling pathway	2	8.0	0.02752118130392266	21825, 76905	22	24	18082	68.49242424242425	0.9994658776774095	0.41620542884959155	30.713848231871964
GOTERM_BP_DIRECT	GO:0048741~skeletal muscle fiber development	2	8.0	0.030910168499585482	54720, 11459	22	27	18082	60.88215488215488	0.9997918914679811	0.431732709103703	33.82219658848492
GOTERM_BP_DIRECT	GO:2000379~positive regulation of reactive oxygen species metabolic process	2	8.0	0.03541132462941626	21825, 12575	22	31	18082	53.02639296187684	0.9999407916598725	0.45578071128293707	37.75157012256315
GOTERM_BP_DIRECT	GO:0071479~cellular response to ionizing radiation	2	8.0	0.03541132462941626	12753, 12575	22	31	18082	53.02639296187684	0.9999407916598725	0.45578071128293707	37.75157012256315
GOTERM_BP_DIRECT	GO:0050796~regulation of insulin secretion	2	8.0	0.05321762991499146	11865, 12753	22	47	18082	34.974854932301746	0.9999996131488919	0.5804374688466354	51.27704252270691
GOTERM_BP_DIRECT	GO:0006986~response to unfolded protein	2	8.0	0.057620042580511975	15505, 21825	22	51	18082	32.23172905525847	0.999999890091557	0.5894267842790818	54.173130011183005
GOTERM_BP_DIRECT	GO:0042493~response to drug	3	12.0	0.05822920292147431	21825, 18158, 12575	22	339	18082	7.273531777956555	0.9999999076983933	0.5736680742978388	54.56108907212512
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	3	12.0	0.05975596837623457	12268, 21825, 18158	22	344	18082	7.167811839323467	0.9999999404395403	0.5647408575721291	55.52015344954674
GOTERM_BP_DIRECT	GO:0032922~circadian regulation of gene expression	2	8.0	0.06854094046717567	11865, 12753	22	61	18082	26.947839046199704	0.9999999952769973	0.5986398968288997	60.68477848949567
GOTERM_BP_DIRECT	GO:0051592~response to calcium ion	2	8.0	0.07611373741402973	21825, 18158	22	68	18082	24.173796791443852	0.9999999994788082	0.6215179000790594	64.68598419891738
GOTERM_BP_DIRECT	GO:0043434~response to peptide hormone	2	8.0	0.08148693974570394	18158, 20716	22	73	18082	22.518057285180575	0.9999999998920952	0.6313162952066588	67.29301085214962
GOTERM_BP_DIRECT	GO:0071260~cellular response to mechanical stimulus	2	8.0	0.08683037207126258	18158, 230899	22	78	18082	21.074592074592072	0.9999999999776698	0.6400817181137947	69.70822146043176
GOTERM_BP_DIRECT	GO:0007050~cell cycle arrest	2	8.0	0.09002220709799427	21825, 12575	22	81	18082	20.29405162738496	0.999999999991324	0.6389789089059748	71.0711710940009
