Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0034097~response to cytokine	6	5.555555555555555	4.6621881316891326E-5	20848, 20807, 22287, 18414, 20716, 19696	89	81	18082	15.049521431543903	0.03988465547938336	0.03988465547938336	0.07236102976672099
GOTERM_BP_DIRECT	GO:0002218~activation of innate immune response	3	2.7777777777777777	8.244991938032776E-4	72512, 228607, 21898	89	9	18082	67.72284644194757	0.513288966133286	0.30235321697386575	1.2724871288919748
GOTERM_BP_DIRECT	GO:0061049~cell growth involved in cardiac muscle cell development	3	2.7777777777777777	0.001251696612876767	56376, 18158, 230899	89	11	18082	55.40960163432074	0.6649299277684242	0.3054366234803021	1.9258266394662993
GOTERM_BP_DIRECT	GO:0033160~positive regulation of protein import into nucleus, translocation	3	2.7777777777777777	0.002051419496228745	72512, 228607, 15519	89	14	18082	43.53611556982343	0.8334947883454603	0.3612116928487742	3.138031918794848
GOTERM_BP_DIRECT	GO:0042789~mRNA transcription from RNA polymerase II promoter	3	2.7777777777777777	0.003036918711611944	20848, 20807, 20672	89	17	18082	35.853271645736946	0.9297197170444117	0.4120143863183494	4.612553577820067
GOTERM_BP_DIRECT	GO:0030308~negative regulation of cell growth	5	4.62962962962963	0.003244306944960174	56437, 68465, 18158, 230899, 12575	89	125	18082	8.126741573033707	0.9413920143064368	0.3767540487828377	4.9201648306508865
GOTERM_BP_DIRECT	GO:0009612~response to mechanical stimulus	4	3.7037037037037033	0.0035828694905766763	50706, 54720, 21825, 11459	89	63	18082	12.899589798466202	0.9564332840441668	0.36086360855415833	5.4203485135750356
GOTERM_BP_DIRECT	GO:0071407~cellular response to organic cyclic compound	4	3.7037037037037033	0.005842734827962537	72512, 20848, 11647, 107765	89	75	18082	10.835655430711611	0.9939980258743475	0.47242189348268304	8.696480794190286
GOTERM_BP_DIRECT	GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling	5	4.62962962962963	0.006045678948725197	103694, 228607, 21817, 21898, 19696	89	149	18082	6.817736218988011	0.9949778467093814	0.4446799815852094	8.985433725964809
GOTERM_BP_DIRECT	GO:0042493~response to drug	7	6.481481481481481	0.006211573407587675	20848, 21825, 22287, 13489, 18158, 15519, 12575	89	339	18082	4.195220576049849	0.9956588475064053	0.41955576225073954	9.220999379558648
