Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0002544~chronic inflammatory response	2	7.4074074074074066	0.007718138721468428	21825, 20201	21	7	18082	246.01360544217684	0.8405929707591582	0.8405929707591582	9.498967851151253
GOTERM_BP_DIRECT	GO:0038063~collagen-activated tyrosine kinase receptor signaling pathway	2	7.4074074074074066	0.008816099286943081	12826, 12827	21	8	18082	215.26190476190476	0.8773818557805485	0.6498312632180715	10.78049514161834
GOTERM_BP_DIRECT	GO:0031668~cellular response to extracellular stimulus	2	7.4074074074074066	0.024066876385446138	22042, 12575	21	22	18082	78.27705627705627	0.996891478741391	0.8540565481610115	26.93461799711223
GOTERM_BP_DIRECT	GO:0030511~positive regulation of transforming growth factor beta receptor signaling pathway	2	7.4074074074074066	0.026227274459037022	21825, 76905	21	24	18082	71.75396825396825	0.9981615464168799	0.7929319148796649	28.990970945700887
GOTERM_BP_DIRECT	GO:0032007~negative regulation of TOR signaling	2	7.4074074074074066	0.029459354776531086	11865, 67046	21	27	18082	63.78130511463844	0.9991639090687482	0.7576457151123764	31.96790095598144
GOTERM_BP_DIRECT	GO:2000379~positive regulation of reactive oxygen species metabolic process	2	7.4074074074074066	0.03375294467631818	21825, 12575	21	31	18082	55.55145929339478	0.9997076524453687	0.7423778239526825	35.74462604560581
GOTERM_BP_DIRECT	GO:0055114~oxidation-reduction process	4	14.814814814814813	0.03692894533652909	14778, 67044, 11668, 28200	21	676	18082	5.094956325725557	0.9998660248461803	0.7202837147143265	38.41280559731144
GOTERM_BP_DIRECT	GO:0048514~blood vessel morphogenesis	2	7.4074074074074066	0.03802848582710432	21825, 12826	21	35	18082	49.20272108843537	0.9998978015690457	0.6829114730058597	39.312459078838636
GOTERM_BP_DIRECT	GO:0030890~positive regulation of B cell proliferation	2	7.4074074074074066	0.04652570918158445	22042, 12575	21	43	18082	40.04872646733112	0.9999875195569101	0.7148084410876167	45.86686243772506
GOTERM_BP_DIRECT	GO:0042493~response to drug	3	11.11111111111111	0.05332754143809571	21825, 11668, 12575	21	339	18082	7.619890434049725	0.9999977126166613	0.7271437567669992	50.63596731278853
GOTERM_BP_DIRECT	GO:0016525~negative regulation of angiogenesis	2	7.4074074074074066	0.0767342999935846	21825, 12827	21	72	18082	23.917989417989414	0.9999999939406191	0.8209608434197349	64.24418732432487
GOTERM_BP_DIRECT	GO:0051289~protein homotetramerization	2	7.4074074074074066	0.07878378064572543	14778, 11668	21	74	18082	23.27155727155727	0.9999999964215623	0.8022387852836204	65.2532548946774
GOTERM_BP_DIRECT	GO:0007050~cell cycle arrest	2	7.4074074074074066	0.08592298006734903	21825, 12575	21	81	18082	21.260435038212815	0.9999999994338632	0.8056044747887849	68.5667411478675
GOTERM_BP_DIRECT	GO:0009636~response to toxic substance	2	7.4074074074074066	0.09099019428091248	13849, 12575	21	86	18082	20.02436323366556	0.9999999998483821	0.8011044596027733	70.73894674911352
